,date,order_id,category,product_name,quantity,unit_price,sales,region
567,2025-02-04T03:45:30.990,297-2583358-5051467,Home & Kitchen,Ninja Air Fryer,1,152.78,152.78,Amazon.de (Germany)
310,2025-02-04T05:45:30.990,965-5224584-7353264,Electronics,Ring Video Doorbell,1,424.42,424.42,Amazon.de (Germany)
601,2025-02-04T09:45:30.990,907-1648538-4976794,Electronics,Kindle Paperwhite,2,835.74,1891.1541767845674,Amazon.co.uk (UK)
196,2025-02-04T11:45:30.990,613-4456848-2026178,Electronics,Ring Video Doorbell,3,309.19,1047.2052607422877,Amazon.com (US)
264,2025-02-04T14:45:30.990,042-0777645-9776023,Home & Kitchen,Instant Pot Duo,1,118.56,129.25009841091963,Amazon.de (Germany)
35,2025-02-04T14:45:30.990,195-5326930-4461239,Books,The Body Keeps the Score,2,36.51,80.37918226251803,Amazon.com (US)
506,2025-02-04T16:45:30.990,251-6025643-8361458,Clothing,Levi's 501 Original Jeans,2,100.88,238.21803983858626,Amazon.com (US)
478,2025-02-04T16:45:30.990,610-7309997-9026815,Home & Kitchen,Ninja Air Fryer,1,132.17,140.26824661822224,Amazon.com (US)
745,2025-02-04T16:45:30.990,810-7199253-8543604,Books,Atomic Habits,1,14.19,16.465055822281638,Amazon.de (Germany)
977,2025-02-04T20:45:30.990,253-3430000-6834412,Electronics,Echo Dot (4th Gen),1,128.89,128.89,Amazon.com (US)
986,2025-02-04T21:45:30.990,474-5363909-8277722,Sports,Coleman Camping Tent,3,136.74,410.23,Amazon.co.uk (UK)
123,2025-02-04T22:45:30.990,276-5175589-5144192,Clothing,Columbia Fleece Jacket,2,71.67,143.34,Amazon.co.jp (Japan)
455,2025-02-04T22:45:30.990,102-4372205-6400486,Electronics,Echo Dot (4th Gen),1,833.6,833.6,Amazon.com (US)
406,2025-02-04T23:45:30.990,911-4589590-1698410,Sports,Hydro Flask Water Bottle,3,43.24,129.71,Amazon.co.uk (UK)
665,2025-02-05T01:45:30.990,730-2676339-0033994,Clothing,Amazon Essentials T-Shirt,4,87.41,349.65,Amazon.com (US)
523,2025-02-05T04:45:30.990,158-2252937-7167746,Clothing,Adidas Running Shoes,1,37.01,37.01,Amazon.co.uk (UK)
401,2025-02-05T06:45:30.990,736-6302131-4733092,Beauty,Neutrogena Sunscreen,2,77.97,155.94,Amazon.co.uk (UK)
885,2025-02-05T11:45:30.990,419-2155519-3544896,Home & Kitchen,Instant Pot Duo,1,227.24,249.699758483043,Amazon.co.uk (UK)
275,2025-02-05T12:45:30.990,623-5660672-0291832,Sports,Fitbit Charge 5,1,132.29,149.70851844450203,Amazon.co.uk (UK)
527,2025-02-05T13:45:30.990,587-7018854-7876713,Clothing,Under Armour Hoodie,2,90.68,200.59824682440714,Amazon.co.uk (UK)
330,2025-02-05T14:45:30.990,600-0724232-3637079,Electronics,Ring Video Doorbell,1,1237.74,1482.8929890527575,Amazon.co.jp (Japan)
592,2025-02-05T18:45:30.990,744-9011883-0212145,Clothing,Levi's 501 Original Jeans,1,109.99,116.68687530554065,Amazon.com (US)
778,2025-02-05T18:45:30.990,121-6762824-3450008,Electronics,Ring Video Doorbell,1,1137.83,1293.848708536827,Amazon.com (US)
90,2025-02-05T21:45:30.990,032-8364548-6034393,Electronics,Fire TV Stick 4K,2,175.26,350.52,Amazon.co.jp (Japan)
519,2025-02-05T23:45:30.990,082-7356813-5114062,Electronics,Fire TV Stick 4K,2,573.17,1146.34,Amazon.com (US)
374,2025-02-06T06:45:30.990,748-6860740-5244530,Beauty,Revlon One-Step Hair Dryer,3,98.58,295.75,Amazon.com.au (Australia)
892,2025-02-06T09:45:30.990,187-0697549-0544016,Electronics,Kindle Paperwhite,2,1057.62,2324.6455479200213,Amazon.com (US)
287,2025-02-06T09:45:30.990,902-0845828-1543617,Clothing,Under Armour Hoodie,2,65.96,142.4163342962424,Amazon.com (US)
461,2025-02-06T10:45:30.990,124-8068936-2737828,Clothing,Levi's 501 Original Jeans,1,116.71,127.55628583469695,Amazon.co.uk (UK)
